band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-05-21,wspr_2023-05-21_20m.parquet,N8PES,40,43,3,80,73,0.9125,0.9125,-2.3333333333333335,-18.5,80,73,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,NK3H,33,37,4,188,60,0.3191489361702128,0.3191489361702128,-32.0,-9.0,1884,60,>-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,QK2ZOL,13,17,4,16,16,1.0,1.0,0.0,-21.0,16,21,-22..-20
20m,2023-05-21,wspr_2023-05-21_20m.parquet,SM6VNO,33,37,4,26,31,1.1923076923076923,1.1923076923076923,1.25,-18.0,26,31,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,VE7BEH,30,37,7,18,46,2.5555555555555554,2.5555555555555554,4.0,-15.5,18,103,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,VE7BEH,37,43,6,46,38,0.8260869565217391,0.8260869565217391,-1.3333333333333333,-20.0,103,76,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,AH6CY,23,30,7,61,10,0.16393442622950818,0.16393442622950818,-7.285714285714286,-21.0,283,19,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,F1DZP,23,27,4,36,131,3.638888888888889,3.638888888888889,23.75,-20.5,54,939,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,KD8TFR,33,40,7,119,173,1.453781512605042,1.453781512605042,7.714285714285714,-16.5,184,366,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,KD8TFR,33,43,10,119,163,1.3697478991596639,1.3697478991596639,4.4,-16.5,184,164,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,KD8TFR,40,43,3,173,163,0.9421965317919075,0.9421965317919075,-3.3333333333333335,-15.0,366,164,-20..-15
