band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,log_rx_gain_per_db,delta_rx_per_db,start_snr,reports_lo,reports_hi
10m,2023-08-21,wspr_2023-08-21_10m.parquet,I4ZTO,30,37,7,101,8,0.07920792079207921,0.07920792079207921,-0.36223985359448907,-13.285714285714286,-14.0,593,24
10m,2023-08-21,wspr_2023-08-21_10m.parquet,N3AGE,23,30,7,5,4,0.8,0.8,-0.031877650187744244,-0.14285714285714285,-20.0,415,166
10m,2023-08-21,wspr_2023-08-21_10m.parquet,R2BIY,37,43,6,10,14,1.4,1.4,0.056078706103535485,0.6666666666666666,-19.5,10,14
10m,2023-08-21,wspr_2023-08-21_10m.parquet,W4WLO,30,33,3,23,2,0.08695652173913043,0.08695652173913043,-0.8141156784564014,-7.0,-19.0,283,29
10m,2023-08-22,wspr_2023-08-22_10m.parquet,AI5DQ,23,27,4,5,11,2.2,2.2,0.19711434009106757,1.5,-18.0,13,34
10m,2023-08-22,wspr_2023-08-22_10m.parquet,AI5DQ,23,30,7,5,8,1.6,1.6,0.06714337560653366,0.42857142857142855,-18.0,13,24
10m,2023-08-22,wspr_2023-08-22_10m.parquet,AI5DQ,27,30,3,11,8,0.7272727272727273,0.7272727272727273,-0.10615124370617819,-1.0,-18.0,34,24
10m,2023-08-22,wspr_2023-08-22_10m.parquet,AI5DQ,30,40,10,8,15,1.875,1.875,0.06286086594223741,0.7,-18.5,24,31
10m,2023-08-22,wspr_2023-08-22_10m.parquet,KC3VOH,17,20,3,17,11,0.6470588235294118,0.6470588235294118,-0.14510602375261517,-2.0,-23.5,30,13
10m,2023-08-22,wspr_2023-08-22_10m.parquet,W4WLO,30,33,3,62,13,0.20967741935483872,0.20967741935483872,-0.5207283425278516,-16.333333333333332,-21.0,830,69
10m,2023-08-23,wspr_2023-08-23_10m.parquet,KC3VOH,17,20,3,98,43,0.4387755102040816,0.4387755102040816,-0.2745891209923365,-18.333333333333332,-21.0,1208,63
10m,2023-08-23,wspr_2023-08-23_10m.parquet,W4WLO,30,33,3,84,14,0.16666666666666666,0.16666666666666666,-0.5972531564093516,-23.333333333333332,-21.0,1246,102
10m,2023-08-24,wspr_2023-08-24_10m.parquet,OH8JH,40,47,7,25,41,1.64,1.64,0.07067089169087243,2.2857142857142856,-21.0,25,125
10m,2023-08-24,wspr_2023-08-24_10m.parquet,W4WLO,30,33,3,126,20,0.15873015873015872,0.15873015873015872,-0.613516544465829,-35.333333333333336,-17.0,3050,194
10m,2023-08-25,wspr_2023-08-25_10m.parquet,EA7KR,37,40,3,11,155,14.090909090909092,14.090909090909092,0.8818432813736253,48.0,-14.0,38,1359
10m,2023-08-25,wspr_2023-08-25_10m.parquet,W4WLO,30,33,3,92,16,0.17391304347826086,0.17391304347826086,-0.583066618269753,-25.333333333333332,-16.0,1745,124
10m,2023-08-26,wspr_2023-08-26_10m.parquet,W4WLO,30,33,3,93,14,0.15053763440860216,0.15053763440860216,-0.6311807211793324,-26.333333333333332,-16.0,3316,222
10m,2023-08-27,wspr_2023-08-27_10m.parquet,DL6NL,30,33,3,82,1,0.012195121951219513,0.012195121951219513,-1.4689064157547511,-27.0,-20.0,1210,12
10m,2023-08-27,wspr_2023-08-27_10m.parquet,HA9OA,37,40,3,17,22,1.2941176470588236,1.2941176470588236,0.08594303643403328,1.6666666666666667,-19.0,17,22
10m,2023-08-27,wspr_2023-08-27_10m.parquet,N3AGE,23,30,7,5,10,2.0,2.0,0.09902102579427789,0.7142857142857143,-27.0,208,10
10m,2023-08-27,wspr_2023-08-27_10m.parquet,W4WLO,30,33,3,53,9,0.16981132075471697,0.16981132075471697,-0.5910224454053008,-14.666666666666666,-16.0,770,55
10m,2023-09-18,wspr_2023-09-18_10m.parquet,G0LUJ,23,33,10,3,12,4.0,4.0,0.13862943611198905,0.9,-13.0,34,266
10m,2023-09-18,wspr_2023-09-18_10m.parquet,KR6LA,30,33,3,22,6,0.2727272727272727,0.2727272727272727,-0.4330943280434203,-5.333333333333333,-13.5,58,10
10m,2023-09-18,wspr_2023-09-18_10m.parquet,W4WLO,30,33,3,135,20,0.14814814814814814,0.14814814814814814,-0.6365141682948129,-38.333333333333336,-15.0,3330,250
10m,2023-09-19,wspr_2023-09-19_10m.parquet,W4WLO,30,33,3,43,10,0.23255813953488372,0.23255813953488372,-0.4862050075665056,-11.0,-18.0,309,36
10m,2023-09-20,wspr_2023-09-20_10m.parquet,G0LUJ,23,33,10,2,8,4.0,4.0,0.13862943611198905,0.6,-20.0,25,142
10m,2023-09-20,wspr_2023-09-20_10m.parquet,W4WLO,30,33,3,69,13,0.18840579710144928,0.18840579710144928,-0.5563857157119075,-18.666666666666668,-16.0,1612,134
10m,2023-09-21,wspr_2023-09-21_10m.parquet,AL7KT,30,37,7,24,69,2.875,2.875,0.15086466774990195,6.428571428571429,-16.0,27,91
10m,2023-09-21,wspr_2023-09-21_10m.parquet,G0LUJ,23,33,10,5,25,5.0,5.0,0.16094379124341002,2.0,-20.0,31,441
10m,2023-09-21,wspr_2023-09-21_10m.parquet,W2ACR,27,33,6,14,15,1.0714285714285714,1.0714285714285714,0.011498811914491903,0.16666666666666666,-19.0,22,17
10m,2023-09-21,wspr_2023-09-21_10m.parquet,W4WLO,30,33,3,141,19,0.1347517730496454,0.1347517730496454,-0.6681069704039092,-40.666666666666664,-17.0,4350,251
10m,2023-09-22,wspr_2023-09-22_10m.parquet,AA6KD,40,43,3,60,95,1.5833333333333333,1.5833333333333333,0.1531774431261467,11.666666666666666,-12.5,62,671
10m,2023-09-22,wspr_2023-09-22_10m.parquet,G0LUJ,23,33,10,21,17,0.8095238095238095,0.8095238095238095,-0.021130909366720692,-0.4,-22.0,73,196
10m,2023-09-22,wspr_2023-09-22_10m.parquet,KC1KHL,47,50,3,17,94,5.529411764705882,5.529411764705882,0.5700271460712626,25.666666666666668,-22.0,17,335
10m,2023-09-22,wspr_2023-09-22_10m.parquet,W4WLO,30,33,3,171,20,0.11695906432748537,0.11695906432748537,-0.7153104276495563,-50.333333333333336,-18.0,5089,314
10m,2023-09-23,wspr_2023-09-23_10m.parquet,G0LUJ,23,33,10,7,34,4.857142857142857,4.857142857142857,0.15804503755608482,2.7,-23.0,44,328
10m,2023-09-23,wspr_2023-09-23_10m.parquet,KB6PR,37,47,10,32,18,0.5625,0.5625,-0.05753641449035618,-1.4,-19.0,55,18
10m,2023-09-23,wspr_2023-09-23_10m.parquet,PD4FH,30,33,3,4,6,1.5,1.5,0.1351550360360548,0.6666666666666666,-10.0,10,69
10m,2023-09-23,wspr_2023-09-23_10m.parquet,TA4/G8SCU,33,37,4,6,117,19.5,19.5,0.7426036163924252,27.75,-3.5,16,562
10m,2023-09-23,wspr_2023-09-23_10m.parquet,W4WLO,30,33,3,203,21,0.10344827586206896,0.10344827586206896,-0.7562278471061213,-60.666666666666664,-17.0,5631,333
10m,2023-09-24,wspr_2023-09-24_10m.parquet,AL7BX,37,40,3,49,35,0.7142857142857143,0.7142857142857143,-0.11215741220707097,-4.666666666666667,-21.0,173,70
10m,2023-09-24,wspr_2023-09-24_10m.parquet,DL3EL,20,30,10,4,5,1.25,1.25,0.022314355131420976,0.1,-7.5,10,16
10m,2023-09-24,wspr_2023-09-24_10m.parquet,G0LUJ,23,33,10,5,23,4.6,4.6,0.15260563034950492,1.8,-21.0,36,426
10m,2023-09-24,wspr_2023-09-24_10m.parquet,K8DIU,37,43,6,11,11,1.0,1.0,0.0,0.0,-21.5,20,17
10m,2023-09-24,wspr_2023-09-24_10m.parquet,N0BAA,30,33,3,37,42,1.135135135135135,1.135135135135135,0.04225056854638127,1.6666666666666667,-21.0,184,111
10m,2023-09-24,wspr_2023-09-24_10m.parquet,N5AQM,23,27,4,36,61,1.6944444444444444,1.6944444444444444,0.1318387314293003,6.25,-18.0,83,205
10m,2023-09-24,wspr_2023-09-24_10m.parquet,W4WLO,30,33,3,173,24,0.13872832369942195,0.13872832369942195,-0.6584125880499444,-49.666666666666664,-16.0,5070,312
10m,2023-10-16,wspr_2023-10-16_10m.parquet,0H1OBN,27,30,3,11,10,0.9090909090909091,0.9090909090909091,-0.03177005993477496,-0.3333333333333333,-21.0,11,10
10m,2023-10-16,wspr_2023-10-16_10m.parquet,AF6IM,13,23,10,204,23,0.11274509803921569,0.11274509803921569,-0.21826257779150668,-18.1,-16.0,1856,167
10m,2023-10-16,wspr_2023-10-16_10m.parquet,KC6HAI,27,30,3,11,37,3.3636363636363638,3.3636363636363638,0.40434087994861795,8.666666666666666,-21.0,17,64
10m,2023-10-16,wspr_2023-10-16_10m.parquet,KF4AYT,33,37,4,30,14,0.4666666666666667,0.4666666666666667,-0.19053501301172418,-4.0,-18.5,30,14
10m,2023-10-16,wspr_2023-10-16_10m.parquet,LB5MA,37,40,3,10,9,0.9,0.9,-0.035120171885942096,-0.3333333333333333,-14.0,17,10
10m,2023-10-16,wspr_2023-10-16_10m.parquet,M7FUQ,30,40,10,18,27,1.5,1.5,0.040546510810816436,0.9,-22.0,37,27
10m,2023-10-16,wspr_2023-10-16_10m.parquet,W0MDR,20,27,7,35,51,1.457142857142857,1.457142857142857,0.053782510176416005,2.2857142857142856,-18.0,52,52
10m,2023-10-16,wspr_2023-10-16_10m.parquet,W4WLO,30,33,3,233,19,0.0815450643776824,0.0815450643776824,-0.8355331581330868,-71.33333333333333,-18.0,6668,200
10m,2023-10-17,wspr_2023-10-17_10m.parquet,AF6IM,13,23,10,255,7,0.027450980392156862,0.027450980392156862,-0.35953533961031126,-24.8,-16.0,2398,67
10m,2023-10-17,wspr_2023-10-17_10m.parquet,DF3AT,20,27,7,45,116,2.577777777777778,2.577777777777778,0.1352753859051493,10.142857142857142,-18.5,54,767
10m,2023-10-17,wspr_2023-10-17_10m.parquet,DL3EL,20,30,10,68,45,0.6617647058823529,0.6617647058823529,-0.0412845215405787,-2.3,-20.0,199,80
10m,2023-10-17,wspr_2023-10-17_10m.parquet,F5OAA,20,27,7,49,247,5.040816326530612,5.040816326530612,0.2310811483596215,28.285714285714285,-13.0,55,1220
10m,2023-10-17,wspr_2023-10-17_10m.parquet,N9NIP,37,40,3,65,146,2.246153846153846,2.246153846153846,0.2697397839375664,27.0,-14.0,417,450
