band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,wspr_2023-06-15_20m.parquet,AJ8S,23,33,10,1,1,1.0,0.0,-25.0,1,1,-26..-24
20m,wspr_2023-06-15_20m.parquet,DL5JUN,7,10,3,2,1,0.5,-0.3333333333333333,-18.0,2,1,-20..-15
20m,wspr_2023-06-15_20m.parquet,F1DZP,23,27,4,36,131,3.638888888888889,23.75,-20.5,54,939,-22..-20
20m,wspr_2023-06-15_20m.parquet,K5USB,20,30,10,2,13,6.5,1.1,-14.0,3,23,>-15
20m,wspr_2023-06-15_20m.parquet,K5WG,17,23,6,1,256,256.0,42.5,-18.0,1,7177,-20..-15
20m,wspr_2023-06-15_20m.parquet,K7QXY/P,20,30,10,3,150,50.0,14.7,-12.5,6,2882,>-15
20m,wspr_2023-06-15_20m.parquet,KC9LGS/7,0,10,10,2,1,0.5,-0.1,-26.5,2,1,-28..-26
20m,wspr_2023-06-15_20m.parquet,KC9LGS/7,10,13,3,1,1,1.0,0.0,-30.0,1,1,≤-30
20m,wspr_2023-06-15_20m.parquet,KD4JRX,23,27,4,331,1,0.0030211480362537764,-82.5,-17.0,3573,1,-20..-15
20m,wspr_2023-06-15_20m.parquet,KD8TFR,33,40,7,119,173,1.453781512605042,7.714285714285714,-16.5,184,366,-20..-15
20m,wspr_2023-06-15_20m.parquet,KD8TFR,40,43,3,173,163,0.9421965317919075,-3.3333333333333335,-15.0,366,164,-20..-15
20m,wspr_2023-06-15_20m.parquet,KE8KYP,37,40,3,228,1,0.0043859649122807015,-75.66666666666667,-11.0,657,2,>-15
20m,wspr_2023-06-15_20m.parquet,M0BSI,33,37,4,360,1,0.002777777777777778,-89.75,-15.0,6504,1,-20..-15
20m,wspr_2023-06-15_20m.parquet,ON7AN,27,33,6,134,45,0.3358208955223881,-14.833333333333334,-19.0,1232,79,-20..-15
20m,wspr_2023-06-15_20m.parquet,QU1AMM,27,37,10,1,1,1.0,0.0,-28.0,1,1,-30..-28
20m,wspr_2023-06-15_20m.parquet,QU1AMM,37,47,10,1,1,1.0,0.0,-21.0,1,1,-22..-20
20m,wspr_2023-06-15_20m.parquet,R2BIY,30,37,7,36,107,2.9722222222222223,10.142857142857142,-21.0,43,301,-22..-20
20m,wspr_2023-06-15_20m.parquet,R2BIY,37,43,6,107,33,0.308411214953271,-12.333333333333334,-21.0,301,43,-22..-20
20m,wspr_2023-06-15_20m.parquet,SO5WL,20,23,3,152,1,0.006578947368421052,-50.333333333333336,-19.0,1900,1,-20..-15
20m,wspr_2023-06-15_20m.parquet,VE7CCY,33,43,10,73,33,0.4520547945205479,-4.0,-21.0,200,52,-22..-20
20m,wspr_2023-06-15_20m.parquet,W6LVP,13,17,4,1,1,1.0,0.0,-17.0,1,1,-20..-15
20m,wspr_2023-06-15_20m.parquet,W6LVP,17,23,6,1,1,1.0,0.0,-17.0,1,1,-20..-15
20m,wspr_2023-06-15_20m.parquet,W6LVP,23,33,10,1,1,1.0,0.0,-29.0,1,1,-30..-28
20m,wspr_2023-06-15_20m.parquet,W6LVP,33,40,7,1,2,2.0,0.14285714285714285,-10.0,1,2,>-15
20m,wspr_2023-06-15_20m.parquet,W7WKR,30,33,3,21,16,0.7619047619047619,-1.6666666666666667,-16.0,797,622,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,0,3,3,28,38,1.3571428571428572,3.3333333333333335,-25.0,113,82,-26..-24
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,3,7,4,38,2,0.05263157894736842,-9.0,-18.0,82,2,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,7,10,3,2,32,16.0,10.0,-23.0,2,44,-24..-22
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,10,13,3,32,32,1.0,0.0,-18.5,44,50,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,13,17,4,32,31,0.96875,-0.25,-17.0,50,44,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,17,20,3,31,24,0.7741935483870968,-2.3333333333333335,-19.0,44,27,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,20,23,3,24,39,1.625,5.0,-21.0,27,120,-22..-20
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,23,27,4,39,17,0.4358974358974359,-5.5,-21.0,120,17,-22..-20
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,27,30,3,17,31,1.8235294117647058,4.666666666666667,-20.0,17,31,-22..-20
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,30,33,3,31,42,1.3548387096774193,3.6666666666666665,-21.0,31,71,-22..-20
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,33,37,4,42,42,1.0,0.0,-19.0,71,77,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,37,40,3,42,35,0.8333333333333334,-2.3333333333333335,-19.0,77,64,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,40,43,3,35,22,0.6285714285714286,-4.333333333333333,-17.0,64,30,-20..-15
